224,ひがしあづまやま,東吾妻山,あづまこふじ,吾妻小富士,,,1707,374320,1401549,""
225,,,みのわやま,箕輪山,,,1728,373850,1401651,""
226,あだたらやま,安達太良山,てつざん,鉄山,,,1709,373759,1401659,"鉄山（くろがねやま）　Ｈ26三角点標高改定"
227,,,あだたらやま,安達太良山,,,1700,373716,1401716,""
228,,,ばんだいさん,磐梯山,,,1816,373604,1400420,"Ｈ22三角点再設置"
229,,,たかだてやま,高館山　,,,273,384547,1394451,"Ｈ23三角点再設置"
230,,,きんぼうざん,金峯山,,,471,384056,1394753,""
231,,,はぐろさん,羽黒山,,,414,384209,1395858,""
232,,,がっさん,月山,,,1984,383256,1400137,""
233,,,はやま,葉山,,,1462,383145,1401238,""
234,,,あつみだけ,温海岳,,,736,383712,1393751,""
235,,,まやさん,摩耶山,,,1020,383113,1394340,""
236,,,いとうだけ,以東岳,,,1772,382035,1395057,"Ｈ22三角点標高改定"
237,あさひだけ,朝日岳,おおあさひだけ,大朝日岳,,,1871,381538,1395520,"Ｈ22三角点標高改定"
238,,,いわいがめやま,祝瓶山　,,,1417,381151,1395247,""
239,,,わしがすやま,鷲ヶ巣山,,,1093,381319,1394008,""
240,,,しんぼだけ,新保岳,,,852,382140,1393039,""
241,,,しらたかやま,白鷹山,,,994,381322,1401023,""
242,,,えぶりさしだけ,朳差岳,,,1636,375633,1393632,""
243,,,きたまただけ,北股岳,,,2025,375248,1393819,""
244,,,いいでさん,飯豊山,,,2105,375117,1394226,""
245,,,だいにちだけ,大日岳,,,2128,374958,1393937,""
246,,,にのうじだけ,二王子岳,,,1420,375359,1392957,""
247,,,ごずさん,五頭山,,,912,374804,1392044,""
248,,,こうようざん,高陽山,,,1126,374345,1393859,"Ｈ26三角点標高改定"
249,,,いいもりさん,飯森山,,,1595,374850,1395532,"Ｈ26三角点標高改定"
250,,,りょうぜん,霊山,,,825,374608,1404115,"標高は東ノ物見を示す"
251,,,ひやま,日山,てんのうざん,天王山,1057,373235,1404101,""
252,,,かまくらだけ,鎌倉岳,,,967,372801,1404120,""
253,,,おおたきねやま,大滝根山,,,1192,372118,1404206,""
254,,,きっとやさん,屹兎屋山,,,875,371238,1405203,""
255,,,よもぎだだけ,蓬田岳,,,952,371557,1403205,""
256,,,さんだいみょうじんやま,三大明神山,,,706,370307,1404545,""
257,,,たつわれさん,竪破山,,,658,364239,1403344,"たてわれさん"
258,,,なんたいさん,男体山,,,654,364327,1402511,""
259,,,たかすずやま,高鈴山,,,623,363716,1403516,""
260,,,やみぞさん,八溝山,,,1022,365549,1401623,""
261,,,わがくにさん,吾国山,,,518,361919,1401204,""
262,,,かばさん,加波山,,,709,361756,1400837,""
